par_id,site_id,product_id,par_qty,effective_start_date,effective_end_date
214,13,24,190,2025-08-01,
215,13,23,137,2025-08-01,
216,13,9,3,2025-08-01,
217,13,3,4,2025-08-01,
218,13,13,2,2025-08-01,
219,13,14,3,2025-08-01,
220,13,21,37,2025-08-01,
221,13,1,6,2025-08-01,
222,13,25,152,2025-08-01,
223,13,2,4,2025-08-01,
224,14,19,22,2025-08-01,
225,14,18,23,2025-08-01,
226,14,7,4,2025-08-01,
227,14,6,4,2025-08-01,
228,14,23,137,2025-08-01,
229,14,17,31,2025-08-01,
230,14,8,2,2025-08-01,
231,14,9,3,2025-08-01,
232,14,15,41,2025-08-01,
233,14,24,158,2025-08-01,
234,14,11,4,2025-08-01,
235,14,4,4,2025-08-01,
236,14,22,171,2025-08-01,
237,14,10,2,2025-08-01,
238,14,20,23,2025-08-01,
239,15,1,5,2025-08-01,
240,15,3,4,2025-08-01,
241,15,23,123,2025-08-01,
242,15,2,2,2025-08-01,
243,15,19,6,2025-08-01,
244,15,20,21,2025-08-01,
245,15,22,240,2025-08-01,
246,15,6,4,2025-08-01,
247,15,8,3,2025-08-01,
248,15,7,4,2025-08-01,
249,15,24,91,2025-08-01,
250,15,4,3,2025-08-01,
251,15,16,25,2025-08-01,
252,15,25,146,2025-08-01,
253,15,18,29,2025-08-01,
254,15,12,3,2025-08-01,
255,16,11,3,2025-08-01,
256,16,10,1,2025-08-01,
257,16,16,28,2025-08-01,
258,16,14,2,2025-08-01,
259,16,22,193,2025-08-01,
260,16,21,10,2025-08-01,
261,16,24,120,2025-08-01,
262,16,6,2,2025-08-01,
263,16,17,19,2025-08-01,
264,16,12,3,2025-08-01,
265,16,2,3,2025-08-01,
266,16,4,3,2025-08-01,
267,16,19,24,2025-08-01,
268,16,8,4,2025-08-01,
269,16,13,2,2025-08-01,
270,16,15,29,2025-08-01,
271,16,23,174,2025-08-01,
272,17,9,2,2025-08-01,
273,17,20,28,2025-08-01,
274,17,25,157,2025-08-01,
275,17,24,95,2025-08-01,
276,17,14,2,2025-08-01,
277,17,5,4,2025-08-01,
278,17,21,19,2025-08-01,
279,17,22,157,2025-08-01,
280,17,10,1,2025-08-01,
281,17,16,33,2025-08-01,
282,17,13,3,2025-08-01,
283,17,18,23,2025-08-01,
284,17,19,27,2025-08-01,
285,17,12,1,2025-08-01,
286,17,6,2,2025-08-01,
287,17,3,3,2025-08-01,
288,17,8,2,2025-08-01,
289,17,7,4,2025-08-01,
290,17,23,224,2025-08-01,
291,18,25,126,2025-08-01,
292,18,17,21,2025-08-01,
293,18,20,28,2025-08-01,
294,18,10,3,2025-08-01,
295,18,1,4,2025-08-01,
296,18,23,86,2025-08-01,
297,18,6,4,2025-08-01,
298,18,2,2,2025-08-01,
299,18,5,4,2025-08-01,
300,18,8,2,2025-08-01,
301,18,3,4,2025-08-01,
302,18,22,119,2025-08-01,
303,18,18,16,2025-08-01,
304,18,13,3,2025-08-01,
305,18,16,26,2025-08-01,
306,18,14,2,2025-08-01,
307,18,15,34,2025-08-01,
308,18,4,3,2025-08-01,
309,18,12,3,2025-08-01,
